Introduction to Computer Science,https://pll.harvard.edu/course/cs50-introduction-computer-science
Introduction to Computer Science,https://pll.harvard.edu/subject/computer-science-0
Introduction to Computer Science,https://pll.harvard.edu/subject/python
Introduction to Computer Science,https://pll.harvard.edu/subject/programming-0
Introduction to Computer Science,https://pll.harvard.edu/instructor/brian-yu
Introduction to Computer Science,https://www.edx.org/learn/computer-science/harvard-university-cs50-s-introduction-to-computer-science
Introduction to Computer Science,https://en.wikipedia.org/wiki/Computer_science
Introduction to Computer Science,https://en.wikipedia.org/wiki/Computer_graphics_(computer_science)
Introduction to Computer Science,https://en.wikipedia.org/wiki/Computer_architecture
Introduction to Computer Science,https://en.wikipedia.org/wiki/Theoretical_computer_science
Mathematics for Computing,https://www.london.ac.uk/sites/default/files/study-guides/mathematics-for-computing.pdf
Mathematics for Computing,https://www.coursera.org/learn/mathematics-for-computer-science
Mathematics for Computing,https://en.wikipedia.org/wiki/Computational_mathematics
Mathematics for Computing,https://en.wikipedia.org/wiki/Computational_mathematics#Areas_of_computational_mathematics
Mathematics for Computing,https://en.wikipedia.org/wiki/Computational_mathematics#References
Mathematics for Computing,https://www.auroracs.lk/bit/syllabus/sem3/Mathenatics-for-computing-II.pdf
Mathematics for Computing,https://www.youtube.com/watch?v=v-6LThPVm3A
Mathematics for Computing,https://www.bcit.ca/courses/mathematics-for-computing-comp-1114/
Mathematics for Computing,https://www.nature.com/subjects/mathematics-and-computing
Mathematics for Computing,https://web.stanford.edu/class/archive/cs/cs103/cs103.1184/notes/Mathematical%20Foundations%20of%20Computing.pdf
Programming in C,https://www.w3schools.com/c/c_intro.php
Programming in C,https://www.geeksforgeeks.org/c-programming-language/
Programming in C,https://www.geeksforgeeks.org/c-language-introduction/
Programming in C,https://www.geeksforgeeks.org/c-programming-examples/
Programming in C,https://www.geeksforgeeks.org/features-of-c-programming-language/
Programming in C,https://www.programiz.com/c-programming
Programming in C,https://www.programiz.com/c-programming/online-compiler/
Programming in C,https://www.programiz.com/c-programming/c-operators
Programming in C,https://www.programiz.com/c-programming/examples
Programming in C,https://www.programiz.com/c-programming/getting-started
Database Management Systems,https://www.geeksforgeeks.org/introduction-of-dbms-database-management-system-set-1/
Database Management Systems,https://www.appdynamics.com/topics/database-management-systems
Database Management Systems,https://www.techtarget.com/searchdatamanagement/definition/database-management-system
Database Management Systems,https://www.techtarget.com/searchdatamanagement/definition/data-management
Database Management Systems,https://www.techtarget.com/searchdatamanagement/definition/Hadoop
Database Management Systems,https://www.techtarget.com/searchdatamanagement/definition/schema
Database Management Systems,https://www.ibm.com/docs/en/zos-basic-skills?topic=zos-what-is-database-management-system
Database Management Systems,https://www.dataversity.net/what-is-a-database-management-system-dbms/
Database Management Systems,https://www.techopedia.com/definition/24361/database-management-systems-dbms
Database Management Systems,https://www.javatpoint.com/dbms-tutorial
Professional Development,https://www.upskillist.pro/blog/the-importance-and-benefits-of-professional-development/
Professional Development,https://professional.dce.harvard.edu/blog/why-is-professional-development-important/
Professional Development,https://en.wikipedia.org/wiki/Professional_development
Professional Development,https://www.nie.ac.lk/departments/department-of-professional-development-educational-management/
Professional Development,https://www.growthspace.com/glossary/professional-development
Professional Development,https://www.coursera.org/enterprise/articles/what-is-professional-development
Professional Development,https://www.sciencedirect.com/topics/social-sciences/professional-development
Professional Development,https://careersmart.org.uk/your-career/career-development/professional-development
Professional Development,https://www.betterup.com/blog/professional-development
Professional Development,https://www.health.gov.lk/moh-page/national-continuous-professional-development/
